"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"	"Room Revenue OTB"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"	"Room Revenue OTB"
"2023-12-10"	"Su"	"Welcome Hotel Paderborn"	57	"37.25%"	153	57	96.89	5522.69
"2023-12-10"	"Su"	"Welcome Hotel Bad Arolsen"	37	"31.09%"	119	37	84.72	3134.56
"2023-12-10"	"Su"	"Welcome Hotel Meschede / Hennesee"	13	"11.21%"	116	13	78.76	1023.93
"2023-12-10"	"Su"	"Welcome Hotel Wesel"	27	"26.21%"	103	27	106.48	2875.08
"2023-12-10"	"Su"	"Welcome Hotel Dorf Munsterland"	20	"15.27%"	131	20	63.35	1267.02
"2023-12-10"	"Su"	"Welcome Hotel Neckarsulm"	31	"19.14%"	162	31	90.85	2816.37
"2023-12-10"	"Su"	"Welcome Parkhotel Euskirchen"	28	"30.43%"	92	28	113.10	3166.79
"2023-12-10"	"Su"	"All"	437	"24.80%"	1762	437	94.32	41217.82
"2023-12-11"	"Mo"	"Welcome Hotel Darmstadt"	122	"58.65%"	208	122	121.55	14829.57
"2023-12-11"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	109	"63.01%"	173	109	71.28	7769.81
"2023-12-11"	"Mo"	"Welcome Residenzschloss Bamberg"	62	"33.70%"	184	62	103.83	6437.57
"2023-12-11"	"Mo"	"Welcome Kongresshotel Bamberg"	124	"72.51%"	171	124	87.49	10849.34
"2023-12-11"	"Mo"	"Welcome Hotel Marburg"	96	"64.00%"	150	96	114.93	11032.85
"2023-12-11"	"Mo"	"Welcome Hotel Paderborn"	127	"83.01%"	153	127	94.66	12022.37
"2023-12-11"	"Mo"	"Welcome Hotel Bad Arolsen"	50	"42.02%"	119	50	79.87	3993.34
"2023-12-11"	"Mo"	"Welcome Hotel Meschede / Hennesee"	29	"25.00%"	116	29	82.20	2383.94
"2023-12-11"	"Mo"	"Welcome Hotel Wesel"	36	"34.95%"	103	36	94.00	3383.85
"2023-12-11"	"Mo"	"Welcome Hotel Dorf Munsterland"	30	"22.90%"	131	30	59.60	1787.97
"2023-12-11"	"Mo"	"Welcome Hotel Neckarsulm"	93	"57.41%"	162	93	116.87	10868.71
"2023-12-11"	"Mo"	"Welcome Parkhotel Euskirchen"	74	"80.43%"	92	74	115.59	8553.94
"2023-12-11"	"Mo"	"All"	952	"54.03%"	1762	952	98.65	93913.26
"2023-12-12"	"Tu"	"Welcome Hotel Darmstadt"	146	"70.19%"	208	146	124.54	18183.44
"2023-12-12"	"Tu"	"Best Western Plus Welcome Hotel Frankfurt"	149	"86.13%"	173	149	77.32	11520.55
"2023-12-12"	"Tu"	"Welcome Residenzschloss Bamberg"	92	"50.00%"	184	92	109.95	10115.42
"2023-12-12"	"Tu"	"Welcome Kongresshotel Bamberg"	147	"85.96%"	171	147	88.90	13067.86
"2023-12-12"	"Tu"	"Welcome Hotel Marburg"	132	"88.00%"	150	132	122.50	16170.31
"2023-12-12"	"Tu"	"Welcome Hotel Paderborn"	132	"86.27%"	153	132	99.33	13111.62
"2023-12-12"	"Tu"	"Welcome Hotel Bad Arolsen"	48	"40.34%"	119	48	92.13	4422.41
"2023-12-12"	"Tu"	"Welcome Hotel Meschede / Hennesee"	26	"22.41%"	116	26	89.41	2324.69
"2023-12-12"	"Tu"	"Welcome Hotel Wesel"	45	"43.69%"	103	45	91.67	4124.99
"2023-12-12"	"Tu"	"Welcome Hotel Dorf Munsterland"	34	"25.95%"	131	34	73.50	2499.07
