"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"2023-05-29"	"Mo"	"Welcome Hotel Neckarsulm"	20	"12.35%"	162	20	107.79
"2023-05-29"	"Mo"	"Welcome Parkhotel Euskirchen"	30	"32.61%"	92	30	108.53
"2023-05-29"	"Mo"	"All"	514	"29.17%"	1762	514	101.39
"2023-05-30"	"Tu"	"Welcome Hotel Darmstadt"	139	"66.83%"	208	139	119.26
"2023-05-30"	"Tu"	"Best Western Plus Welcome Hotel Frankfurt"	131	"75.72%"	173	131	88.95
"2023-05-30"	"Tu"	"Welcome Residenzschloss Bamberg"	62	"33.70%"	184	62	108.12
"2023-05-30"	"Tu"	"Welcome Kongresshotel Bamberg"	52	"30.41%"	171	52	96.60
"2023-05-30"	"Tu"	"Welcome Hotel Marburg"	90	"60.00%"	150	90	100.42
"2023-05-30"	"Tu"	"Welcome Hotel Paderborn"	64	"41.83%"	153	64	95.41
"2023-05-30"	"Tu"	"Welcome Hotel Bad Arolsen"	32	"26.89%"	119	32	94.79
"2023-05-30"	"Tu"	"Welcome Hotel Meschede / Hennesee"	75	"64.66%"	116	75	103.88
"2023-05-30"	"Tu"	"Welcome Hotel Wesel"	79	"76.70%"	103	79	103.02
